ResponseId,PID,HS_1,HS_2,HS_3,FM_1,FM_2,GM_1,GM_2,Dif_import1,Dif_import2,Dif_impos1,Dif_impos2,Country,Age,Sex,Ethnicity,Language
R_rr0W1Eib65n6Oxr,64469d49bd962313f4ecdb1f,6,6,6,2,3,4,4,2,2,3,2,Germany,22,Female,White,German
R_O8SJG906vuCGx7X,643850d960ae67c75c0198df,1,5,5,4,2,4,5,4,5,2,2,Germany,25,Male,White,English
R_6WqWfxshvfqOtYl,6408c1b54a500c8d81f12d6e,2,3,4,4,5,6,5,5,4,5,3,Germany,24,Male,White,German
R_2uWzbfJ5XsTAZCw,61111091292799d97f76a5a3,2,3,2,3,3,4,4,5,5,2,2,Germany,19,Female,White,German
R_3rsbkruurP6IEXT,6438576b1860de7fc057113d,3,2,5,1,1,5,6,2,3,5,4,Germany,18,Female,White,German
R_A7kZzPtKET3Xszv,644e54b0abb1dc71923d717c,2,2,2,2,4,5,4,4,4,3,3,Germany,27,Male,White,German
R_2yrYTGvb3icko16,6411ac917106ac58f8fb2c9a,1,4,2,1,1,5,6,5,4,2,2,Germany,21,Male,White,German
R_29iCOyMbEFxWFDu,60207652caa62b6a34ff96dc,3,2,2,4,4,3,3,3,3,3,4,Germany,23,Male,White,German
R_2v38UWau7S6iwjs,643c243ff0ef4cb25c20a392,4,6,4,4,4,1,2,3,4,1,1,Germany,24,Male,White,German
R_1BYpo9iqfLRjl2q,63fb64d65c767a406d26afa6,2,2,4,5,4,4,3,4,4,2,2,Germany,22,Female,White,German
R_Wef0r8kwGYtTX69,60c52dfb2b2f7ee8ed1d6118,4,4,4,1,2,5,5,5,5,2,2,Germany,30,Female,White,Russian
R_38Ad521vu0L3g9X,60fd3574955a2ca75409573c,3,3,5,2,3,5,3,3,4,3,3,Germany,23,Female,White,German
R_DzXvZSkRvwTs66B,6163d01ce4d65ac7a6e159bb,2,2,4,3,3,4,4,4,4,3,3,Germany,20,Female,White,German
R_3GrmyrAoYGwxiil,64490baffa3fea7d34ac12fa,5,4,6,3,5,3,2,3,4,1,1,Germany,28,Male,Asian,German
R_BWGeMAG8FhgGKRz,63dfd4fb58435f30c7e5b04b,2,2,4,4,5,2,2,5,5,2,2,Germany,30,Male,White,German
R_2t9HZAW4Fggc7Ta,63fea576862043ef1af72ba8,1,3,2,4,4,2,2,1,2,1,1,Germany,22,Female,White,German
R_2xykEuaHNI25idS,63f96a371bb85d609a6a9c2c,2,2,6,2,2,5,5,3,3,2,1,Germany,21,Female,White,German
R_2X1ofBKPzXjDJtF,6426e0d830286b7e70d57fa9,1,2,2,3,4,4,5,4,4,2,2,Germany,23,Female,White,German
R_3PmLbPU1tH8AT6v,643a72941402a53c267973fb,2,5,4,5,6,1,1,2,3,2,1,Germany,31,Male,White,Polish
R_3FXtjOZVP54M7PM,63656faf832387e4e2c335d1,4,4,4,3,2,6,5,4,4,3,3,Germany,18,Male,White,German
R_1CIQoqUH2w1luNu,615c5c448b32a4a0ce81e2b4,4,4,4,4,4,3,4,4,4,4,4,Germany,28,Female,White,German
R_3dXSeV4SheL5jsB,613b7d2b4f97a501efc5f46c,4,6,6,2,3,3,3,2,2,2,2,Germany,31,Female,White,Russian
R_QhO7pAbulCCisbn,63c33a62f56571779a295a6f,1,3,3,2,1,4,5,3,5,1,2,Germany,33,Female,White,German
R_6D7YWXndUruT1G9,640430ff6843b27803decc0f,4,2,4,2,2,3,2,3,3,4,3,Germany,23,Female,Mixed,German
R_2zUuVL8Mr6rFeVI,63bd9467ea3c9a7021048289,3,3,6,2,2,5,4,3,3,3,3,Germany,25,Female,White,German
R_1gcm9PXxmQcurr2,63fd0b137e38c72ea19176aa,3,2,3,2,2,5,5,4,4,1,1,Germany,22,Male,White,German
R_3nG91CCGTeHXEsg,640cd27f2848f08a6613fb10,4,4,5,2,1,6,6,2,4,2,2,Germany,23,Male,White,German
R_2QhNGmlgKgtCkxZ,5e5074ea55087a0cc7dbc163,3,4,4,4,3,3,3,4,4,2,2,Germany,21,Male,White,German
R_3oXQLvOicMPBH7s,643be991cc8ce1adfd20a397,4,3,6,2,4,4,3,1,2,1,1,Germany,24,Female,White,German
R_2DRKo7UdJRFjgP9,6404cb13d8157726927f4457,1,1,1,6,6,1,1,4,3,2,2,Germany,21,Male,White,German
R_3EKAg5VCmsgxNAT,643cff9260890a3b38e3130d,2,6,6,3,4,2,2,4,4,2,1,Germany,23,Female,White,German
R_1FCBCHk06jm7iuO,6426bdcb8848aab570ee8846,3,3,3,2,2,4,5,3,4,4,3,Germany,22,Female,White,German
R_ai9aOL3nJEMEI5r,63eba43528e10ce66ddc988f,2,1,4,3,3,1,3,4,5,1,1,Germany,29,Male,White,German
R_PHhF4ZX39d5Xkvn,63b6bdb8d29fd50c5e868c46,4,4,4,4,4,3,3,5,4,4,3,Germany,39,Male,White,German
R_2PnHRx3Oe3A7YdP,607c8faf6d8e98b09d585eb3,3,5,5,2,4,5,4,5,4,2,3,Germany,28,Male,Black,German
R_BJ2yGe2nI6zmq3v,63d2c20ec51e93a7c7a44ffe,3,3,1,4,5,2,2,3,2,3,3,Germany,30,Male,White,German
R_3MSZkBwVlk9ddgT,5e8610a6fc57a721b7952024,2,5,5,3,4,4,3,3,4,3,4,Germany,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,German
R_1259jalVkgOpRzy,5c31324b197e6300016fa75c,3,6,5,1,3,5,5,6,5,2,3,Germany,26,Male,White,German
R_3fNmBMU1TPu0GdB,627bccc58bb8898efd763beb,3,5,5,2,2,5,5,5,6,4,4,Germany,23,Male,White,German
R_3ELvOMsQvPoWpCA,63cf9273683d81272641f69b,6,4,5,3,4,3,2,3,4,4,4,Germany,27,Female,White,German
R_3iETNn3HUWgfG3K,627be8df969ba21063c8a31f,3,4,4,3,3,4,3,3,3,3,3,Germany,24,Female,White,German
R_2v7dkjnmTOgzZvf,599b3cedd0bcd10001dd939a,3,2,2,4,5,5,5,4,6,4,5,Germany,29,Male,White,German
R_23V97K2EgGB0aTF,60928a250d3bfcb9a26fe8ef,4,3,5,3,4,4,3,5,5,2,1,Germany,25,Female,White,German
R_3sjOSmZaFGMDxks,63c54053d14cc248d3bffebd,2,3,3,3,2,5,5,2,4,2,3,Germany,25,Male,Other,Turkish
R_2rkzLduyBqI9ku2,64005b335f4967ac4e424ea0,3,3,5,4,5,2,2,3,5,2,2,Germany,20,Male,White,German
R_1FKcSbNwJVO4LQL,63ee74be8d86f8b59f5274bb,5,4,6,2,1,6,5,4,3,2,1,Germany,19,Male,White,German
R_2ahiyDnumPNCbYg,63bb3a3a7695488e9c67bfd0,4,3,4,4,6,1,3,4,4,4,4,Germany,27,Male,White,German
R_1n2aD88ZTQvp2rg,642c1939b0a0d63b388cbb8b,2,2,2,3,3,4,3,4,4,3,3,Germany,21,Female,White,German
R_sZoqnCMwHlVn3XP,6436ac020da67d633df003a5,5,5,6,4,3,3,2,4,4,2,3,Germany,18,Male,White,German
R_1FRMBn47yyhHzW6,64343c140782b3817036ac02,2,4,2,2,5,1,2,5,2,2,2,Germany,31,Female,White,German
R_29538Vjb6Pi7GV8,5a06ebf2c259f300017656ee,2,4,3,5,5,2,2,3,3,2,2,Germany,25,Male,White,German
R_3pf3I7bP6qCh3Kc,643948480e0146e9147fd1ab,3,5,5,4,4,3,3,3,3,1,2,Germany,23,Female,Other,Kurdish
R_9yrdFAO1Q1k3QK5,63cee90471704f850eb478e9,5,4,6,3,5,2,3,2,2,1,3,Germany,22,Male,Mixed,German
R_2X6XuyoHLYIQkgj,62cd76f4e1297b0f56874ffd,6,5,5,1,1,6,6,1,5,3,2,Germany,35,Female,White,German
R_9SPJRpYfMdx252h,63fe22806d22fad00a2a2500,4,4,5,2,2,4,4,4,4,4,3,Germany,24,Male,White,German
R_3EyXcjYHTu6HwPU,644bb856958bf41bdd713868,1,6,4,1,2,5,5,3,5,5,6,Germany,23,Male,White,Polish
